name,hex,Traditional Chinese name
Míngyuèdāng,#d4d3ca,明月璫
Mòcǎn,#585248,墨黲
Mùjǐn,#ba79b1,木槿
Mùlán,#662b1f,木蘭
Mùshānzǐ,#a4abd6,暮山紫
Mùtóngzǐ,#5b3222,目童子
Měirénjì,#c35c6a,美人祭
Mǐtāngjiāo,#eeead9,米湯嬌
Nèn'éhuáng,#f2c867,嫩鵝黃
Níngyèzǐ,#422256,凝夜紫
Níngzhī,#f5f2e9,凝脂
Nǚzhēnhuáng,#f7eead,女貞黃
Piǎobì,#80a492,縹碧
Pèijiǔ,#ac9f8a,佩玖
Pútáohè,#9e696d,葡萄褐
Pǐnyuè,#8aabcc,品月
Qiànfá,#9e2a22,綪茷
Qièlán,#88abda,竊藍
Qiéluó,#6d5c3d,伽羅
Qióngjū,#d77f66,瓊琚
Qiúlín,#343041,璆琳
Qiānshāncuì,#6b7d73,千山翠
Qiūlán,#7d929f,秋藍
Qiūxiāng,#bf9c46,秋香
Qiǎnyún,#eaeef1,淺雲
Quányuán,#ce8892,縓緣
Quèméi,#788a6f,雀梅
Qílín,#12264f,騏驎
Qílínjié,#4c1e1a,麒麟竭
Qíndān,#e94829,檎丹
Qíngshān,#a3bbdb,晴山
Qízǐ,#6c216d,齊紫
Qúnqīng,#2e59a7,群青
Qīgū,#5d8351,漆姑
Qīngbáiyù,#cac5a0,青白玉
Qīngcàn,#c3d94e,青粲
Qīngdài,#45465e,青黛
Qīngguā,#284852,青緺
Qīngguī,#92905d,青圭
Qīnggǔ,#b3bda9,青古
Qīngluán,#9aa7b1,青鸞
Qīnglí,#422517,青驪
Qīngméi,#778a77,青梅
Qīngmíng,#3271ae,青冥
Qīngqiū,#81a380,青楸
Qīngquètóudài,#354e6b,青雀頭黛
Qīngqīng,#4f6f46,青青
Qīngwò,#007175,青雘
Qīngyù'àn,#a8b092,青玉案
Qūchén,#c0d09d,麴塵
Qǐqián,#d8de8a,綺錢
Ruólán,#6e9bc5,挼藍
Ruǎncuì,#006d87,軟翠
Rénlài,#9ebc19,人籟
Ròuhóng,#ddc5b8,肉紅
Róngróngyuè,#bec2bc,溶溶月
Róulán,#106898,柔藍
Rúlǜ,#a35f65,茹藘
Rúmènglíng,#ddbb99,如夢令
Shuāngdì,#c7c6b6,霜地
Shuǐhuázhū,#a72126,水華朱
Shuǐhóng,#ecb0c1,水紅
Shuǐlóngyín,#84a729,水龍吟
Shào'ài,#e3eb98,少艾
Shàoyī,#a8a19c,紹衣
Sháofěn,#e0e0d0,韶粉
Shèxiānghè,#694b3c,麝香褐
Shífà,#6a8d52,石發
Shíliánhè,#92897b,石蓮褐
Shíliúqún,#b13b2e,石榴裙
Shílǜ,#206864,石綠
Shímì,#d4bf89,石蜜
Shíniè,#686a67,石涅
Shíyàngjǐn,#f8c6b5,十樣錦
Shíyīng,#c8b6bb,石英
Shùnshèng,#7c191e,順聖
Shānfán,#f5f3f2,山礬
Shānhúhè,#c12c1f,珊瑚赫
Shānlán,#bed2bb,山嵐
Shāxíng,#bfa670,沙餳
Sùcǎi,#d4dde1,素采
Sùqí,#595333,素綦
Sānglěi,#ead89a,桑蕾
Sāngōngzǐ,#663d74,三公子
Sōnghuā,#ffee6f,松花
Sōnglán,#6b798e,菘藍
Sūfāng,#81474c,蘇方
Sūméi,#dd7694,蘇梅
Tiánchì,#e1d384,田赤
Tiáoróng,#ed6d3d,苕榮
Tiānpiǎo,#d5ebe1,天縹
Tiānqiú,#e0dfc6,天球
Tiānshuǐbì,#5aa4ae,天水碧
Tiělí,#46433b,驖驪
Tuìhóng,#f0cfe3,退紅
Tuóhè,#7c5b3e,駝褐
Tàishīqīng,#547689,太師青
Tàiyīyúliáng,#d5b45c,太一餘糧
Táigǔ,#79836c,苔古
Tánchún,#da9e8c,檀唇
Tánglí,#b15a43,棠梨
Tánglíhè,#955a42,棠梨褐
Tánhè,#945635,檀褐
Tánsè,#b26d5d,檀色
Táoyāo,#f6bec8,桃夭
Tíngwúlǜ,#68945c,庭蕪綠
Tóngguǎn,#e2a2ac,彤管
Tóngqīng,#3d8e86,銅青
Tīnghóng,#b04552,鞓紅
Tǎjiàn,#151d29,獺見
Tǔshòulán,#4182a4,吐綬藍
Wángchú,#a99f70,王芻
Wèihóng,#a73766,魏紅
Wèizǐ,#903754,魏紫
Wòzhě,#dd6b7b,渥赭
Wēnfú,#984f31,縕韍
Wǎnyǎn,#a9a886,琬琰
Xiàyuè,#d2af9d,夏籥
Xiánchí,#daa9a9,咸池
Xiānglúzǐyān,#d3ccd6,香爐紫煙
Xiāngpí,#d8d1c5,香皮
Xiāngyè,#ecd452,緗葉
Xiānmǐ,#d4c9aa,仙米
Xiāoyáoyóu,#b2bfc3,逍遙遊
Xiǎohóng,#e67762,小紅
Xuánjiǎo,#a9a082,玄校
Xuántiān,#6b5458,玄天
Xìchì,#cb523e,赩熾
Xìngzǐ,#da9233,杏子
Xíngxiāngzǐ,#bfb99c,行香子
Xīlán,#e3adb9,夕嵐
Xīnggāng,#f5b087,騂剛
Xīngláng,#bcd4e7,星郎
Xīxì,#5f766a,翕赩
Xīzǐ,#87c0ca,西子
Xūnhuáng,#ba5140,纁黃
Yuèbái,#d4e5ef,月白
Yuèpò,#b2b6b6,月魄
Yuǎnzhì,#81663b,遠志
Yáfēi,#c35c5d,牙緋
Yángfēi,#f091a0,楊妃
Yánwéi,#4a4b9d,延維
Yáohuáng,#d6bc46,姚黃
Yègān,#7c623f,射干
Yíngyíng,#f9d3e3,盈盈
Yínhè,#9c8d9b,銀褐
