name,hex,good name
Rénlài,#9EBC19
Róngróngyuè,#BEC2BC
Ròuhóng,#DDC5B8
Róulán,#106898
Ruǎncuì,#006D87
Rúlǜ,#A35F65
Rúmènglíng,#DDBB99
Ruólán,#6E9BC5
Sānglěi,#EAD89A
Sāngōngzǐ,#663D74
Shānfán,#F5F3F2
Shānhúhè,#C12C1F
Shānlán,#BED2BB
Shào'ài,#E3EB98
Sháofěn,#E0E0D0
Shàoyī,#A8A19C
Shāxíng,#BFA670
Shèxiānghè,#694B3C
Shífà,#6A8D52
Shíliánhè,#92897B
Shíliúqún,#B13B2E
Shílǜ,#206864
Shímì,#D4BF89
Shíniè,#686A67
Shíyàngjǐn,#F8C6B5
Shíyīng,#C8B6BB
Shuāngdì,#C7C6B6
Shuǐhóng,#ECB0C1
Shuǐhuázhū,#A72126
Shuǐlóngyín,#84A729
Shùnshèng,#7C191E
Sōnghuā,#FFEE6F
Sōnglán,#6B798E
Sùcǎi,#D4DDE1
Sūfāng,#81474C
Sūméi,#DD7694
Sùqí,#595333
Táigǔ,#79836C
Tàishīqīng,#547689
Tàiyīyúliáng,#D5B45C
Tǎjiàn,#151D29
Tánchún,#DA9E8C
Tánglí,#B15A43
Tánglíhè,#955A42
Tánhè,#945635
Tánsè,#B26D5D
Táoyāo,#F6BEC8
Tiánchì,#E1D384
Tiānpiǎo,#D5EBE1
Tiānqiú,#E0DFC6
Tiānshuǐbì,#5AA4AE
Tiáoróng,#ED6D3D
Tiělí,#46433B
Tīnghóng,#B04552
Tíngwúlǜ,#68945C
Tóngguǎn,#E2A2AC
Tóngqīng,#3D8E86
Tuìhóng,#F0CFE3
Tuóhè,#7C5B3E
Tǔshòulán,#4182A4
Wángchú,#A99F70
Wǎnyǎn,#A9A886
Wèihóng,#A73766
Wèizǐ,#903754
Wēnfú,#984F31
Wòzhě,#DD6B7B
Xiánchí,#DAA9A9
Xiānglúzǐyān,#D3CCD6
Xiāngpí,#D8D1C5
Xiāngyè,#ECD452
Xiānmǐ,#D4C9AA
Xiǎohóng,#E67762
Xiāoyáoyóu,#B2BFC3
Xiàyuè,#D2AF9D
Xìchì,#CB523E
Xīlán,#E3ADB9
Xīnggāng,#F5B087
Xīngláng,#BCD4E7
Xíngxiāngzǐ,#BFB99C
Xìngzǐ,#DA9233
Xīxì,#5F766A
Xīzǐ,#87C0CA
Xuánjiǎo,#A9A082
Xuántiān,#6B5458
Xūnhuáng,#BA5140
Yāchú,#6A5B6D
Yáfēi,#C35C5D
Yángfēi,#F091A0
Yǎngshēngzhǔ,#B49B7F
Yānhóng,#9D858F
Yānmò,#5C4F55
Yánwéi,#4A4B9D
Yānzhīchóng,#AB1D22
Yānzhīshuǐ,#B95A89
Yānzhīzǐ,#B0436F
Yáohuáng,#D6BC46
Yègān,#7C623F
Yīng'ér,#EBE1A9
Yīngbèihè,#8F6D5F
Yīnghuā,#E4B8D5
Yǐngqīng,#BDCBD2
Yíngyíng,#F9D3E3
Yínhè,#9C8D9B
Yínhóng,#E7CAD3
Yínzhū,#D12920
Yóuhúlú,#644D31
Yóulǜ,#5D7259
Yōutánruì,#615EA8
Yóuzǐ,#420B2F
Yuǎnzhì,#81663B
Yúbái,#C9CFC1
Yuèbái,#D4E5EF
Yuèpò,#B2B6B6
Yùjīnqún,#D08635
Yúnhuáng,#D2A36C
Yúnmén,#A2D2E2
Yúnmǔ,#C6BEB1
Yúnwù,#D5D1AE
Yùpīng,#EAE5E3
Yùsè,#EAE4D1
Yúshīqīng,#32788A
Yùyángrǎn,#576470
Yǔyúliáng,#E1D279
Zànbái,#F6F9E4
Zǎohè,#68361A
Zēngqīng,#535164
Zhèhuáng,#C67915
Zhěluó,#9A6655
Zhēnglì,#A58A5F
Zhèngqīng,#6CA8AF
Zhídàxiàng,#919177
Zhīzi,#FAC03D
Zhūcǎo,#A64036
Zhūkǒngyáng,#B81A35
Zhuójiàng,#796860
Zhūshì,#ED6D46
Zhūshílì,#81492C
Zhūyántuó,#F29A76
Zhūyīn,#B93A26
Zhūyīng,#8F1D22
Zhúyuè,#7F9FAF
Zhūzhàn,#95302E
Zhūzǐhè,#BEA89D
Zǐ'ōu,#7C461E
Zǐbóhàn,#BBA1CB
Zǐdì,#9B8EA9
Zǐfǔ,#995D7F
Zǐgào,#76555D
Zǐhuābù,#BEA78B
Zǐjīngpíngfēng,#A76283
Zǐkuàng,#9E4E56
Zǐméi,#BB7A8C
Zǐmò,#A67EB7
Zǐmójīn,#BC836B
Zǐpú,#A6559D
Zǐqū,#7D5284
Zǐshǔ,#594C57
Zǐyuàn,#757CBB
Zōuchī,#804C2E
